image_path,hog_pc1,hog_pc2,clip_pc1,clip_pc2,hog_cluster,clip_cluster,hog_name,surface_effect,clip_name,surface_type
..\data\images_resized\img_78.jpg,3.011565350351048,0.3494290089539645,-0.21389242,-0.008631955,0,3,multi-directional structure,multi-directional noise,open structural frame,skeletal/open surface
..\data\images_resized\img_79.jpg,-2.252666161973774,4.138240959996056,0.103478685,-0.27620593,2,2,repetitive grid,modular repetition,facade repetition,grid surface
..\data\images_resized\img_8.jpg,0.9382477886692823,0.480472689936261,0.003128319,-0.10044414,1,3,directional perspective,directional stretch,open structural frame,skeletal/open surface
..\data\images_resized\img_80.jpg,1.0902156368188534,5.457948409561602,0.0073032724,-0.02906329,3,3,high-contrast edges,sharp displacement,open structural frame,skeletal/open surface
..\data\images_resized\img_81.jpg,-0.41019382515930813,-3.375377766332291,-0.04970474,-0.23741545,1,2,directional perspective,directional stretch,facade repetition,grid surface
..\data\images_resized\img_82.jpg,-5.6874811765260604,2.2948925258556616,0.055301,0.11471082,2,0,repetitive grid,modular repetition,complex urban brutalism,layered surface
..\data\images_resized\img_83.jpg,-0.8832440219827794,-1.3221525266086884,0.10714974,0.0075681815,1,0,directional perspective,directional stretch,complex urban brutalism,layered surface
..\data\images_resized\img_84.jpg,-0.8224370801801545,0.7166232817090354,-0.17920265,-0.09405086,1,2,directional perspective,directional stretch,facade repetition,grid surface
..\data\images_resized\img_85.jpg,1.6833894598839227,-1.0514485994840785,0.20917353,0.004370481,1,1,directional perspective,directional stretch,monolithic concrete mass,monolithic surface
..\data\images_resized\img_86.jpg,-0.6871200013013169,0.7502650958622942,-0.24039645,-0.08811719,1,2,directional perspective,directional stretch,facade repetition,grid surface
..\data\images_resized\img_87.jpg,2.2941259217933845,-2.478631155431795,-0.111973755,-0.11292227,0,2,multi-directional structure,multi-directional noise,facade repetition,grid surface
..\data\images_resized\img_88.jpg,-3.6124515574348073,-2.6072578219011655,-0.24821746,0.08838756,2,3,repetitive grid,modular repetition,open structural frame,skeletal/open surface
..\data\images_resized\img_89.jpg,3.339921330820073,0.3091781967088043,-0.121357605,-0.036494974,1,3,directional perspective,directional stretch,open structural frame,skeletal/open surface
