x,y,z
-0.24943291690965783,0.3976582638403056,0.17466454192520225
-0.39757811308359264,0.5123395500082192,0.1878001789212605
-0.19305028063671742,0.031515647936239836,0.18378770386396423
-0.33089230671073455,0.5992558208292207,-0.15936583625853934
-0.24647049398370585,0.1599591166342411,0.0694312990302508
-0.39908492834722287,0.3728271688234016,0.015292297703113397
0.04271131291233049,0.0017524442968244098,-0.0996636983884631
-0.39505944744262755,0.2818703131784202,0.10022986213332508
-0.25549101842353567,0.8274777028731425,0.113404098205831
-0.2782894782041968,0.38138774352901433,-0.2668151436217054
-0.2497664512721512,0.2589644543831465,-0.04703119472367584
-0.4006003407467235,0.46749053296032217,0.060200057708670374
0.35976789683982974,0.03640085779860388,0.1082895173410936
-0.32066391505189823,0.09251279344176375,0.2639714687504895
-0.39326322566385374,0.2711894853794339,0.1472779731116699
-0.3181338411200401,0.48167041133071636,-0.24249885890758022
-0.363066662985384,0.5341689334646936,-0.2181604276685218
-0.2853272624016229,0.14077378116148037,-0.15047271427808076
-0.25266221255181004,0.6589993579288385,0.3213812554262893
-0.3955601926784802,0.4132822350524127,0.23818716215759866
-0.2460191475747291,0.15429878580995107,0.1024526386548954
-0.38475120500378857,0.2805501167446547,-0.12608324745016203
-0.26459734922392975,0.2676013463723918,-0.29359319567162717
-0.32933165407430376,0.7978593176103297,0.13073244747619672
-0.37867064034958187,0.2598829873406338,-0.13013462765092976
-0.25671422705847086,0.6910773319839821,-0.10712675512237774
-0.2511355268306088,0.5892780427136066,0.311665273505759
-0.09990218626240856,0.0,0.2532189934408798
-0.2926386812798819,0.8594697974936102,0.216859416636096
0.09212608429327643,0.001153639551704553,0.3210559546701438
0.31288191301278195,0.07946524164274342,0.3226654822363512
0.12905527652240936,0.06450598497073598,0.4354182852111331
-0.2896139390514745,0.7940554707616186,-0.02730887185040418
-0.2505961386197026,0.499529937470201,0.25515496925425657
-0.15770862349224538,0.04541612955623836,-0.2865164692716995
0.08857975621523072,0.021765566227162667,0.3932752056359586
-0.1571359058407279,0.00453759145962661,0.06309866249097303
-0.30107692931955027,0.0624809230053521,-0.017771534786645636
-0.25626602855739355,0.7126272211314862,-0.02856608331732926
-0.11036567607913034,0.027940856100674805,0.381445252727202
-0.243164,0.1893833487083748,0.39605410021437054
-0.31290515900663185,0.6965983965715021,-0.09159801812599415
-0.37131899157580595,0.5852829969297938,0.3380496094366285
-0.24112239714386577,0.04764415091986013,-0.030476503883844368
-0.25224256424836344,0.4549415317674385,0.04874577701172378
-0.30379654060687045,0.80759730555255,0.018571594283578945
-0.1426199108764583,0.007229675752676804,-0.39502971286698674
-0.24627371760366593,0.2514087902553024,0.2685206953975646
-0.24644614548075577,0.13164649947085127,-0.005943483887591472
-0.2523836450821362,0.577742428491794,-0.13715031755312648
0.23566141835681587,0.08483079409394247,-0.16181992298764014
-0.24710787594098735,0.3044777299361087,0.28205290095224755
0.2801457505994214,0.0330391420436109,-0.07703337574250352
-0.17950487557837053,0.028536048361398496,-0.2907785035747394
-0.26851748897519545,0.12745535745910605,0.35166632505920187
-0.1150762846298885,0.04578191088445263,0.3682763587597713
-0.29751092600757134,0.28321364226772605,0.44412644465493367
-0.2659633160833575,0.18063682341477422,-0.19653848435043492
-0.25179534419462707,0.3129710505450684,-0.15243001408974627
-0.2521841255940829,0.33836847721326657,-0.19557307370852545
0.16340713654493205,0.0037617878985020162,-0.003268933897527332
-0.3996203430852814,0.49010329777647466,0.04235091835040124
-0.25890636480081,0.5910135577159044,0.41548743416492834
-0.24749553320818848,0.14113951043438921,-0.07612680134522525
-0.15491008035118012,0.023348338806422342,-0.07428545209429603
-0.3540002593149759,0.5054039243376165,-0.20279045704240514
0.06839895707154527,0.057968658019310414,0.45574187860254173
-0.25409708028696376,0.7337917573471204,0.21345950358512325
-0.3303433928540069,0.20524376061466748,-0.17692965379236703
0.21602753024422963,0.08632995650725342,-0.17337124713207275
-0.3502296263417001,0.38280486225261684,-0.22293728001458016
0.027698701099263964,0.05806831538307855,-0.20026886134463323
-0.14041034108326506,0.0,0.06373790619980521
-0.2828251874100724,0.8327896885956354,0.1954299235629639
-0.22137092103838693,0.054189405490221644,0.010624241869266693
-0.3634181225006801,0.14641653878495658,-0.06472858903012738
-0.24573842721720907,0.3442189837501973,0.41543843196178243
0.015174328037287589,0.028427703225739606,0.4266303415135569
-0.142476496467151,0.0,0.039777030502726726
-0.3155637831240969,0.9365320407680329,0.21587419584553955
-0.3952582957531996,0.279825285970256,0.08554341442074567
-0.1578625280994576,0.004888192280285166,0.2751265974482546
0.24873410305268454,0.005717371496580623,0.2871036248726113
-0.25665454685955125,0.6607813203593238,-0.13831672427866232
-0.24543672429254362,0.18356899366062876,0.1868632153832982
-0.316944010193069,0.7408977132607878,0.13281958217809875
-0.3968218780557177,0.5828608882737167,0.04570961901334393
-0.13267106215496122,0.05045492121230565,0.3623047270954976
-0.296379432413936,0.4842410826639094,-0.24114857334148204
0.14580778268796565,0.002053436957921285,0.23084368024002766
-0.22383986461205513,0.020866008508033926,0.20087658785287235
-0.25373707514011107,0.41989815508470657,-0.17338679649022132
-0.2471446539555825,0.3151619590219656,0.28087612221877867
-0.39163737320760833,0.2767587088850474,-0.08449802380015424
-0.33535230864955823,0.5545915895407849,-0.19661610842306687
0.055182129875015015,0.0009592487276160523,0.003670286993753269
-0.25299911646661666,0.6114912792580249,0.031765265927969244
-0.13715685658178658,0.016181758694727384,-0.07995011215130211
-0.3867412866654851,0.5810904520550093,0.2878445558001661
-0.2972080891280851,0.887055916050576,0.11947151427410768
0.27717596520009785,0.010706387305251155,0.25265391489461153
-0.3244780743368542,0.7735650013214439,0.11155255294284724
0.11844113694947353,0.0016230622893971527,0.07505239820423124
-0.3570679440586423,0.7155847738439947,0.15996081782389807
-0.08160605257027981,0.00011638900651496972,-0.019354785656022763
-0.03133784261660013,0.057353054923664507,-0.1680758073339356
-0.2516366017164763,0.47989294718398956,0.1270353460125601
