image_path,hog_pc1,hog_pc2,clip_pc1,clip_pc2,hog_cluster,clip_cluster,hog_name,surface_effect,clip_name,surface_type
..\data\images_resized\img_0.jpg,-37.235604186889425,52.28216922680055,-7.5635705,-2.0509708,2,1,repetitive grid,modular repetition,monolithic concrete mass,monolithic surface
..\data\images_resized\img_1.jpg,-81.42337139613379,-17.679044192636663,3.7388155,1.4464241,3,3,high-contrast edges,sharp displacement,open structural frame,skeletal/open surface
..\data\images_resized\img_10.jpg,17.359457946303724,55.76771143166932,4.3407135,-0.5362423,1,3,directional perspective,directional stretch,open structural frame,skeletal/open surface
..\data\images_resized\img_11.jpg,-11.866050372972964,-94.73610935588357,3.5753558,-2.4055374,3,3,high-contrast edges,sharp displacement,open structural frame,skeletal/open surface
..\data\images_resized\img_12.jpg,21.47250260605799,12.789463800037913,0.89036983,-5.1576586,1,3,directional perspective,directional stretch,open structural frame,skeletal/open surface
..\data\images_resized\img_13.jpg,-31.722398318845165,18.587335406749844,-1.0358092,5.8240395,3,3,high-contrast edges,sharp displacement,open structural frame,skeletal/open surface
..\data\images_resized\img_14.jpg,-39.93283900873354,-23.982701670994288,5.8571587,-4.025453,3,2,high-contrast edges,sharp displacement,facade repetition,grid surface
..\data\images_resized\img_15.jpg,29.87038404015026,23.176161589131095,6.582287,-0.28171188,1,2,directional perspective,directional stretch,facade repetition,grid surface
..\data\images_resized\img_16.jpg,-30.64886287524218,22.040832544822504,5.666233,-6.0247207,2,2,repetitive grid,modular repetition,facade repetition,grid surface
..\data\images_resized\img_17.jpg,-20.282216991031866,19.985052711428388,8.66497,-8.535031,2,2,repetitive grid,modular repetition,facade repetition,grid surface
..\data\images_resized\img_18.jpg,14.313591116330016,-9.4892256231261,9.789145,-2.5091562,1,2,directional perspective,directional stretch,facade repetition,grid surface
..\data\images_resized\img_19.jpg,-8.352439387084857,-14.026401831140847,-11.670937,6.4613075,3,0,high-contrast edges,sharp displacement,complex urban brutalism,layered surface
..\data\images_resized\img_2.jpg,77.49568236528528,-26.675506026974542,-3.6022406,-1.4242374,1,1,directional perspective,directional stretch,monolithic concrete mass,monolithic surface
..\data\images_resized\img_20.jpg,45.075072223701724,-43.242977379344175,-8.736878,-2.9908652,1,1,directional perspective,directional stretch,monolithic concrete mass,monolithic surface
..\data\images_resized\img_21.jpg,-8.77469845125085,-2.4773852074773965,-7.7512736,0.05524864,3,1,high-contrast edges,sharp displacement,monolithic concrete mass,monolithic surface
..\data\images_resized\img_22.jpg,28.616726814019373,1.4346316707555706,7.04568,7.711387,1,2,directional perspective,directional stretch,facade repetition,grid surface
..\data\images_resized\img_23.jpg,30.936959392359366,5.285664301573317,-3.398339,10.96487,1,0,directional perspective,directional stretch,complex urban brutalism,layered surface
..\data\images_resized\img_24.jpg,-106.3138273800976,-46.48914381550667,-6.536245,-7.7270484,3,1,high-contrast edges,sharp displacement,monolithic concrete mass,monolithic surface
..\data\images_resized\img_25.jpg,13.984015191267815,45.35018942241049,0.7001424,-12.735278,1,2,directional perspective,directional stretch,facade repetition,grid surface
..\data\images_resized\img_26.jpg,1.4061747564768714,-17.932949419554575,6.84434,7.732492,2,2,repetitive grid,modular repetition,facade repetition,grid surface
..\data\images_resized\img_27.jpg,-20.188644592607925,21.11095945465088,8.638018,-2.7633474,3,2,high-contrast edges,sharp displacement,facade repetition,grid surface
..\data\images_resized\img_28.jpg,-23.431312389464605,90.4963886185772,-5.3486004,-1.2201968,3,0,high-contrast edges,sharp displacement,complex urban brutalism,layered surface
..\data\images_resized\img_29.jpg,15.960317351903388,34.71449997627261,1.464668,9.46346,1,0,directional perspective,directional stretch,complex urban brutalism,layered surface
..\data\images_resized\img_3.jpg,-28.393977850541084,-64.82933485152432,-10.221926,-4.784821,2,1,repetitive grid,modular repetition,monolithic concrete mass,monolithic surface
..\data\images_resized\img_30.jpg,84.77995120957843,-42.77976394898528,4.680413,-10.251533,1,2,directional perspective,directional stretch,facade repetition,grid surface
..\data\images_resized\img_31.jpg,31.556291308156638,33.24573483805849,5.970867,8.073857,1,3,directional perspective,directional stretch,open structural frame,skeletal/open surface
..\data\images_resized\img_32.jpg,-52.09470905202558,35.65635971219722,1.3620601,-3.5092485,2,2,repetitive grid,modular repetition,facade repetition,grid surface
..\data\images_resized\img_33.jpg,-78.6622889992171,15.400014255851628,-5.696421,-8.554913,2,1,repetitive grid,modular repetition,monolithic concrete mass,monolithic surface
..\data\images_resized\img_34.jpg,-57.74298961260475,-41.12446707671065,3.0395598,-2.9853458,3,2,high-contrast edges,sharp displacement,facade repetition,grid surface
..\data\images_resized\img_35.jpg,53.39173300312688,23.09972846970604,8.826028,3.8450468,1,2,directional perspective,directional stretch,facade repetition,grid surface
..\data\images_resized\img_36.jpg,13.00476697275318,-44.97711272743634,-5.679671,-2.3753653,1,1,directional perspective,directional stretch,monolithic concrete mass,monolithic surface
..\data\images_resized\img_37.jpg,70.1602057522922,10.866418170879493,-4.1515727,8.72725,1,0,directional perspective,directional stretch,complex urban brutalism,layered surface
..\data\images_resized\img_38.jpg,-18.677102638452315,35.279845159683,5.9455914,5.490304,3,2,high-contrast edges,sharp displacement,facade repetition,grid surface
..\data\images_resized\img_39.jpg,43.194106467062916,18.034300856880236,0.45997447,-0.1790103,1,1,directional perspective,directional stretch,monolithic concrete mass,monolithic surface
..\data\images_resized\img_4.jpg,-32.79875117149917,-55.5585246036714,4.4127927,-2.8000052,3,3,high-contrast edges,sharp displacement,open structural frame,skeletal/open surface
..\data\images_resized\img_40.jpg,8.625293540435118,-14.177254525379064,-1.1364688,1.9033881,1,1,directional perspective,directional stretch,monolithic concrete mass,monolithic surface
..\data\images_resized\img_41.jpg,46.6058314683731,-22.741873921294758,-10.000711,-1.5447674,1,1,directional perspective,directional stretch,monolithic concrete mass,monolithic surface
..\data\images_resized\img_42.jpg,-10.949036468308424,14.549586726459207,-4.45973,-4.6437664,3,1,high-contrast edges,sharp displacement,monolithic concrete mass,monolithic surface
..\data\images_resized\img_43.jpg,51.47096097054391,4.259469639307994,7.097285,-6.6850348,1,2,directional perspective,directional stretch,facade repetition,grid surface
..\data\images_resized\img_44.jpg,3.690966645827391,20.589076118648002,6.1276693,11.148348,1,2,directional perspective,directional stretch,facade repetition,grid surface
..\data\images_resized\img_45.jpg,-45.71145942041534,54.81332073740856,-7.7567267,-12.141666,3,1,high-contrast edges,sharp displacement,monolithic concrete mass,monolithic surface
..\data\images_resized\img_46.jpg,-1.7500053230028594,2.988897538910539,4.889372,10.155625,1,3,directional perspective,directional stretch,open structural frame,skeletal/open surface
..\data\images_resized\img_47.jpg,63.718241643941724,27.107163926736416,8.025861,3.9686513,1,3,directional perspective,directional stretch,open structural frame,skeletal/open surface
..\data\images_resized\img_48.jpg,-43.85660089676396,0.5924026725457625,-5.006222,-11.043992,3,1,high-contrast edges,sharp displacement,monolithic concrete mass,monolithic surface
..\data\images_resized\img_49.jpg,5.472230160891113,-11.815957934505649,-1.0150132,6.486156,3,0,high-contrast edges,sharp displacement,complex urban brutalism,layered surface
..\data\images_resized\img_5.jpg,11.141523478986139,9.609985911529007,3.4874873,-4.859741,1,3,directional perspective,directional stretch,open structural frame,skeletal/open surface
..\data\images_resized\img_50.jpg,14.535724431806091,-13.7470790676046,8.098025,3.4624,1,2,directional perspective,directional stretch,facade repetition,grid surface
..\data\images_resized\img_51.jpg,-1.818219188184354,15.397467879461407,8.26389,6.3193192,3,2,high-contrast edges,sharp displacement,facade repetition,grid surface
..\data\images_resized\img_52.jpg,6.382317554418842,-58.73535527920553,-11.208989,-4.821764,1,1,directional perspective,directional stretch,monolithic concrete mass,monolithic surface
..\data\images_resized\img_53.jpg,-9.572004413239364,-39.72207871576508,-13.673317,3.0159647,2,0,repetitive grid,modular repetition,complex urban brutalism,layered surface
..\data\images_resized\img_54.jpg,-54.2991294511194,-27.527744244730382,4.3109927,-5.0235996,3,3,high-contrast edges,sharp displacement,open structural frame,skeletal/open surface
..\data\images_resized\img_55.jpg,47.20187088369232,-16.4839530283985,-7.075908,-1.6171192,1,1,directional perspective,directional stretch,monolithic concrete mass,monolithic surface
..\data\images_resized\img_56.jpg,56.80995339080164,0.3112873871317919,-0.5049344,5.385137,1,1,directional perspective,directional stretch,monolithic concrete mass,monolithic surface
..\data\images_resized\img_57.jpg,28.727897605127477,-59.70839330915802,-13.379032,9.921707,1,0,directional perspective,directional stretch,complex urban brutalism,layered surface
..\data\images_resized\img_58.jpg,19.529649848132383,21.999302018842705,7.760445,2.3517146,3,2,high-contrast edges,sharp displacement,facade repetition,grid surface
..\data\images_resized\img_59.jpg,60.17547477192599,-21.10337943822353,-13.707234,4.5556726,1,0,directional perspective,directional stretch,complex urban brutalism,layered surface
..\data\images_resized\img_6.jpg,11.28222054318004,0.47165086884431184,3.0492227,5.7098794,1,3,directional perspective,directional stretch,open structural frame,skeletal/open surface
..\data\images_resized\img_60.jpg,8.096640389102197,8.727708881503245,-0.67114884,1.6218629,1,3,directional perspective,directional stretch,open structural frame,skeletal/open surface
..\data\images_resized\img_61.jpg,-46.56871637885116,-30.462920553890477,-3.7931008,-11.958008,3,1,high-contrast edges,sharp displacement,monolithic concrete mass,monolithic surface
..\data\images_resized\img_62.jpg,32.768788933683204,-4.5568043707345565,7.129153,8.189699,1,2,directional perspective,directional stretch,facade repetition,grid surface
..\data\images_resized\img_63.jpg,-5.661119638722481,27.107590059410317,-12.920055,4.829591,2,0,repetitive grid,modular repetition,complex urban brutalism,layered surface
